Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
89,6427,species,Ring-billed Gull,Larus delawarensis,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
90,6368,species,Bonaparte's Gull,Chroicocephalus philadelphia,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
91,6130,species,Willet,Tringa semipalmata,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
92,6054,species,Long-billed Dowitcher,Limnodromus scolopaceus,7,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
93,5971,species,Marbled Godwit,Limosa fedoa,20,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
94,5941,species,Long-billed Curlew,Numenius americanus,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
95,5866,species,Killdeer,Charadrius vociferus,2,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
96,5843,species,Semipalmated Plover,Charadrius semipalmatus,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
97,1834,species,Eared Grebe,Podiceps nigricollis,3,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
98,716,species,Red-breasted Merganser,Mergus serrator,2,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
99,548,species,Northern Pintail,Anas acuta,25,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
100,477,species,American Wigeon,Mareca americana,5,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
101,291,species,Brant,Branta bernicla,100,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
102,26560,species,California Gnatcatcher,Polioptila californica,3,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
103,26546,species,Blue-gray Gnatcatcher,Polioptila caerulea,2,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
104,21762,species,Verdin,Auriparus flaviceps,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
105,11095,species,Ladder-backed Woodpecker,Dryobates scalaris,2,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
106,7565,species,Osprey,Pandion haliaetus,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
107,7550,species,Turkey Vulture,Cathartes aura,6,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
108,7384,species,Green Heron,Butorides virescens,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
109,7363,species,Reddish Egret,Egretta rufescens,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
110,7352,species,Snowy Egret,Egretta thula,2,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
111,7323,species,Great Egret,Ardea alba,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
112,7291,species,Great Blue Heron,Ardea herodias,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
113,7224,species,Brown Pelican,Pelecanus occidentalis,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
114,6126,species,Greater Yellowlegs,Tringa melanoleuca,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
115,6116,species,Spotted Sandpiper,Actitis macularius,2,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
116,5931,species,Whimbrel,Numenius phaeopus,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
117,4755,species,Costa's Hummingbird,Calypte costae,2,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
118,649,species,Lesser Scaup,Aythya affinis,1,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
119,617,species,Redhead,Aythya americana,70,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125245432,,1
