Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
130,11805,species,Prairie Falcon,Falco mexicanus,1,Portal--Willow Tank,US-AZ,02 Oct 2022,L129123,S119887817,,1
132,4760,species,Calliope Hummingbird,Selasphorus calliope,1,"Portal, AZ private yard (not open to the public)",US-AZ,01 Oct 2022,L9145680,S119824725,,1
133,3578,species,Common Poorwill,Phalaenoptilus nuttallii,3,"Portal, AZ private yard (not open to the public)",US-AZ,01 Oct 2022,L9145680,S119824725,,1
134,8926,species,Spotted Owl,Strix occidentalis,2,Pinery Canyon,US-AZ,01 Oct 2022,L129056,S119887907,,1
135,31835,species,Red Crossbill,Loxia curvirostra,1,Mt. Lemmon--upper,US-AZ,26 Aug 2022,L127970,S117698134,,1
136,22065,species,Horned Lark,Eremophila alpestris,,Vermilion Cliffs--Condor Viewing Site,US-AZ,06 Aug 2022,L835068,S116433637,,1
137,20765,species,Pinyon Jay,Gymnorhinus cyanocephalus,,Vermilion Cliffs--Condor Viewing Site,US-AZ,06 Aug 2022,L835068,S116433637,,1
138,7543,species,California Condor,Gymnogyps californianus,6,Vermilion Cliffs--Condor Viewing Site,US-AZ,06 Aug 2022,L835068,S116433637,,1
139,33498,species,Grace's Warbler,Setophaga graciae,,"Forest Service Road 248, Fredonia, Arizona, US (36.739, -112.214)",US-AZ,05 Aug 2022,L20437964,S116404748,,1
140,7480,species,White-faced Ibis,Plegadis chihi,,Sage Creek Junction,US-UT,04 Aug 2022,L1167046,S116372858,,1
141,7873,species,Northern Harrier,Circus hudsonius,,"Cokeville-Utah Line Road, Cokeville, Wyoming, US (41.967, -110.995)",US-WY,04 Aug 2022,L20430723,S116372905,,1
142,32569,species,Savannah Sparrow,Passerculus sandwichensis,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,03 Aug 2022,L3690518,S116373002,,1
143,32333,species,Brewer's Sparrow,Spizella breweri,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,03 Aug 2022,L3690518,S116373002,,1
144,563,species,Green-winged Teal,Anas crecca,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,03 Aug 2022,L3690518,S116373002,,1
145,450,species,Blue-winged Teal,Spatula discors,,Yellowstone NP--Hayden Valley--Trout Creek area,US-WY,03 Aug 2022,L3690518,S116373002,,1
146,27553,species,Mountain Bluebird,Sialia currucoides,,Yellowstone NP--Old Faithful area,US-WY,02 Aug 2022,L743130,S116373039,,1
147,1827,species,Red-necked Grebe,Podiceps grisegena,,Henrys Lake--North Parking Area,US-ID,01 Aug 2022,L2264460,S116207854,,1
148,23704,species,Cliff Swallow,Petrochelidon pyrrhonota,,"U.s. Forest Service 209, Montana, US (44.901, -111.592)",US-MT,01 Aug 2022,L20387025,S116166073,,1
149,20972,species,Black-billed Magpie,Pica hudsonia,,"Montana 359, Cardwell, Montana, US (45.802, -111.925)",US-MT,01 Aug 2022,L20385583,S116159531,,1
150,32893,species,Western Meadowlark,Sturnella neglecta,,"Montana 69, Whitehall, Montana, US (45.899, -111.956)",US-MT,01 Aug 2022,L20385385,S116158777,,1
151,3482,species,Common Nighthawk,Chordeiles minor,,"Montana 69, Whitehall, Montana, US (45.899, -111.956)",US-MT,01 Aug 2022,L20385385,S116158777,,1
152,8062,species,Northern Goshawk,Accipiter gentilis,,"Unnamed Road, Boulder, Montana, US (46.348, -112.216)",US-MT,31 Jul 2022,L20385421,S116158945,,1
153,1336,species,Spruce Grouse,Canachites canadensis,,"Unnamed Road, Boulder, Montana, US (46.348, -112.217)",US-MT,30 Jul 2022,L20385449,S116159014,,1
154,32542,species,Vesper Sparrow,Pooecetes gramineus,,"Wood Chute Creek Road, Boulder, Montana, US (46.348, -112.178)",US-MT,30 Jul 2022,L20388580,S116207851,,1
155,20980,species,Clark's Nutcracker,Nucifraga columbiana,,"Wood Chute Creek Road, Boulder, Montana, US (46.348, -112.178)",US-MT,30 Jul 2022,L20388580,S116207851,,1
156,31425,species,Evening Grosbeak,Coccothraustes vespertinus,,Auto selected,US-MT,29 Jul 2022,L20385482,S116159182,,1
157,27090,species,American Dipper,Cinclus mexicanus,,"Little North Fork Road, Cataldo, Idaho, US (47.63, -116.305)",US-ID,27 Jul 2022,L20328961,S115910044,,1
158,32891,species,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,,Turnbull NWR,US-WA,27 Jul 2022,L109546,S115910236,,1
